,Knowledge ID #,Citation #,Reference,Reference Type,Reference Rank
10,2,1,"Tsereteli, N., Vallat, R., Fernandez-Tajes, J., Delahanty, L. M., Ordovas, J. M., Drew, D. A., Valdes, A. M., Segata, N., Chan, A. T., Wolf, J., Berry, S. E., Walker, M. P., Spector, T. D., & Franks, P. W. (2022). Impact of insufficient sleep on dysregulated blood glucose control under standardised meal conditions. Diabetologia, 65(2), 356–365. https://doi.org/10.1007/s00125-021-05608-y",Journal Article,1
50,6,1,"Paravlic, A. H., Slimani, M., Tod, D., Marusic, U., Milanovic, Z., & Pisot, R. (2018). Effects and Dose-Response Relationships of Motor Imagery Practice on Strength Development in Healthy Adult Populations: a Systematic Review and Meta-analysis. Sports medicine (Auckland, N.Z.), 48(5), 1165–1187. https://doi.org/10.1007/s40279-018-0874-8",Journal Article,1
70,8,1,"Jäger, R., Kerksick, C. M., Campbell, B. I., Cribb, P. J., Wells, S. D., Skwiat, T. M., ... & Antonio, J. (2017). International society of sports nutrition position stand: protein and exercise. Journal of the International Society of Sports Nutrition, 14(1), 1-25.",Journal Article,1
90,10,1,"Pontzer, H., Yamada, Y., Sagayama, H., Ainslie, P. N., Andersen, L. F., Anderson, L. J., Arab, L., Baddou, I., Bedu-Addo, K., Blaak, E. E., Blanc, S., Bonomi, A. G., Bouten, C., Bovet, P., Buchowski, M. S., Butte, N. F., Camps, S. G., Close, G. L., Cooper, J. A., Cooper, R., … IAEA DLW Database Consortium (2021). Daily energy expenditure through the human life course. Science (New York, N.Y.), 373(6556), 808–812. https://doi.org/10.1126/science.abe5017 [https://pubmed.ncbi.nlm.nih.gov/34385400/]",Journal Article,1
100,11,1,"Sinaki, M., & Mikkelsen, B. A. (1984). Postmenopausal spinal osteoporosis: flexion versus extension exercises. Archives of physical medicine and rehabilitation, 65(10), 593–596.",Journal Article,1
101,11,2,"Dionyssiotis Y. (2010). Management of osteoporotic vertebral fractures. International journal of general medicine, 3, 167–171. https://doi.org/10.2147/ijgm.s11751",Journal Article,1
102,11,3,"Jang, H. D., Kim, E. H., Lee, J. C., Choi, S. W., Kim, K., & Shin, B. J. (2020). Current Concepts in the Management of Osteoporotic Vertebral Fractures: A Narrative Review. Asian spine journal, 14(6), 898–909. https://doi.org/10.31616/asj.2020.0594",Journal Article,1
103,11,4,"Kunutsor, S. K., Leyland, S., Skelton, D. A., James, L., Cox, M., Gibbons, N., Whitney, J., & Clark, E. M. (2018). Adverse events and safety issues associated with physical activity and exercise for adults with osteoporosis and osteopenia: A systematic review of observational studies and an updated review of interventional studies. Journal of frailty, sarcopenia and falls, 3(4), 155–178. https://doi.org/10.22540/JFSF-03-155",Journal Article,1
104,11,5,"Sinaki M. (2013). Yoga spinal flexion positions and vertebral compression fracture in osteopenia or osteoporosis of spine: case series. Pain practice : the official journal of World Institute of Pain, 13(1), 68–75. https://doi.org/10.1111/j.1533-2500.2012.00545.x",Journal Article,1
130,14,1,"Del Vecchio, A., Negro, F., Falla, D., Bazzucchi, I., Farina, D., & Felici, F. (2018). Higher muscle fiber conduction velocity and early rate of torque development in chronically strength trained individuals. Journal of applied physiology (Bethesda, Md. : 1985), 10.1152/japplphysiol.00025.2018. Advance online publication. https://doi.org/10.1152/japplphysiol.00025.2018",Journal Article,1
